x_cm,z_cm,inside_domain,ks_cm_per_day,head_cm,theta
97.88764044943821,1.1123595505617978,1,45.0,-88.77482,0.25193897
99.0,1.1123595505617978,0,,,
0.0,2.2247191011235956,1,20.085536923187668,-1544.6449,0.115065865
1.1123595505617978,2.2247191011235956,1,20.085536923187668,-1524.8901,0.11533349
2.2247191011235956,2.2247191011235956,1,20.085536923187668,-1505.123,0.11560674
3.3370786516853936,2.2247191011235956,1,20.085536923187668,-1485.3401,0.115885854
4.449438202247191,2.2247191011235956,1,20.085536923187668,-1465.5371,0.11617111
5.561797752808989,2.2247191011235956,1,20.085536923187668,-1445.7072,0.11646282
6.674157303370787,2.2247191011235956,1,20.085536923187668,-1425.8429,0.11676134
7.786516853932585,2.2247191011235956,1,20.085536923187668,-1405.9404,0.117067
8.898876404494382,2.2247191011235956,1,20.085536923187668,-1385.9939,0.117380165
10.011235955056181,2.2247191011235956,1,20.085536923187668,-1365.9956,0.117701255
11.123595505617978,2.2247191011235956,1,20.085536923187668,-1345.9431,0.11803064
12.235955056179776,2.2247191011235956,1,20.085536923187668,-1325.8282,0.11836881
13.348314606741575,2.2247191011235956,1,20.085536923187668,-1305.6528,0.118716106
14.460674157303371,2.2247191011235956,1,20.085536923187668,-1285.4033,0.11907317
15.57303370786517,2.2247191011235956,1,20.085536923187668,-1265.0852,0.11944035
16.685393258426966,2.2247191011235956,1,20.085536923187668,-1244.6929,0.119818196
